region,taxa,art_count,bone_abundance
1,Reindeer,4,21
1,Horse,24,32
1,Bovines,38,28
1,Deer,6,13
1,Ibex,14,2
2,Reindeer,0,30
2,Horse,38,23
2,Bovines,31,18
2,Deer,12,19
2,Ibex,15,7
3,Reindeer,18,42
3,Horse,48,35
3,Bovines,33,21
3,Deer,1,3
3,Ibex,0,0
4,Reindeer,13,34
4,Horse,40,25
4,Bovines,27,21
4,Deer,7,11
4,Ibex,6,5
5,Reindeer,3,24
5,Horse,18,28
5,Bovines,9,18
5,Deer,24,21
5,Ibex,24,9
6,Reindeer,4,19
6,Horse,21,25
6,Bovines,32,22
6,Deer,11,22
6,Ibex,11,5
7,Reindeer,0,29
7,Horse,17,26
7,Bovines,83,21
7,Deer,0,15
7,Ibex,0,8
8,Reindeer,11,28
8,Horse,36,27
8,Bovines,32,22
8,Deer,8,19
8,Ibex,11,4
9,Reindeer,7,31
9,Horse,23,27
9,Bovines,55,30
9,Deer,7,11
9,Ibex,6,1
10,Reindeer,10,31
10,Horse,32,18
10,Bovines,46,22
10,Deer,3,16
10,Ibex,10,13
